caminho_original,caminho_processado,classe,classe_bruta,status_geral,origem_dataset,largura,altura,proporcao,tem_alpha,borda_fundo_estudio,borda_fracao_dessaturada
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082303.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.819
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082306.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.006
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082311.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.01
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082313.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.1
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082317.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.546
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082319.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.314
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082321.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.178
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082324.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.572
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082329.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.007
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082331.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.004
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082335.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.014
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082337.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.092
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082351.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.001
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082356.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.073
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082403.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.502
