caminho,status_previsto,confianca_status,probabilidades_status,subtipo_previsto,confianca_subtipo,subtipo_sem_filtro
C:\Users\Mauro\Downloads\FOTOS\FOTOS\1d02ef9b-6723-41c9-851e-26d802bfcc1c.jpeg,saudavel,0.6882,"{'saudavel': 0.6882, 'praga': 0.0703, 'doenca': 0.2415}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102847.jpg,praga,0.3561,"{'saudavel': 0.3289, 'praga': 0.3561, 'doenca': 0.315}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102858.jpg,doenca,0.6334,"{'saudavel': 0.2638, 'praga': 0.1029, 'doenca': 0.6334}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102909.jpg,praga,0.6148,"{'saudavel': 0.0086, 'praga': 0.6148, 'doenca': 0.3766}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102928.jpg,doenca,0.5699,"{'saudavel': 0.0675, 'praga': 0.3626, 'doenca': 0.5699}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102948.jpg,doenca,0.7311,"{'saudavel': 0.0481, 'praga': 0.2208, 'doenca': 0.7311}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103011.jpg,doenca,0.657,"{'saudavel': 0.196, 'praga': 0.147, 'doenca': 0.657}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103035.jpg,doenca,0.4875,"{'saudavel': 0.0534, 'praga': 0.4591, 'doenca': 0.4875}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103055.jpg,doenca,0.6148,"{'saudavel': 0.1715, 'praga': 0.2137, 'doenca': 0.6148}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103104.jpg,praga,0.4598,"{'saudavel': 0.0909, 'praga': 0.4598, 'doenca': 0.4493}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103122.jpg,doenca,0.7019,"{'saudavel': 0.0856, 'praga': 0.2125, 'doenca': 0.7019}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103223.jpg,doenca,0.5709,"{'saudavel': 0.1753, 'praga': 0.2539, 'doenca': 0.5709}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\2fc1ce60-f14d-4746-9ae2-4f339412fef7.jpeg,saudavel,0.5503,"{'saudavel': 0.5503, 'praga': 0.0348, 'doenca': 0.4149}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\47bf0fe8-02f0-4742-9d82-63727f91dc19.jpeg,saudavel,0.9818,"{'saudavel': 0.9818, 'praga': 0.0031, 'doenca': 0.015}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4ea3e787-14ff-4b1a-b920-a934fd3f1168.jpeg,saudavel,0.5323,"{'saudavel': 0.5323, 'praga': 0.0267, 'doenca': 0.4409}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4febd08d-d812-422b-aef9-c218ca120f69.jpeg,doenca,0.9372,"{'saudavel': 0.032, 'praga': 0.0308, 'doenca': 0.9372}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\505e9ab4-aee0-4b2a-a91e-677856414482.jpeg,saudavel,0.5041,"{'saudavel': 0.5041, 'praga': 0.072, 'doenca': 0.4239}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\634ff639-19e4-4d33-bf14-eb2b2c3f79b6.jpeg,saudavel,0.9809,"{'saudavel': 0.9809, 'praga': 0.001, 'doenca': 0.018}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\86db37f9-f24b-49c7-81a8-f2fb15ba156d.jpeg,doenca,0.5215,"{'saudavel': 0.4528, 'praga': 0.0256, 'doenca': 0.5215}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\88374a43-34de-4257-9192-1791aa6731b7.jpeg,saudavel,0.8943,"{'saudavel': 0.8943, 'praga': 0.0155, 'doenca': 0.0902}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\905ae568-8ff3-44fc-9b19-0954ea7302cc.jpeg,doenca,0.6929,"{'saudavel': 0.0049, 'praga': 0.3022, 'doenca': 0.6929}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\9380be99-49b9-4afd-a68a-dc163cef5078.jpeg,saudavel,0.7898,"{'saudavel': 0.7898, 'praga': 0.0345, 'doenca': 0.1757}",,,
