caminho,status_previsto,confianca_status,probabilidades_status,subtipo_previsto,confianca_subtipo,subtipo_sem_filtro
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225549-dd6be3a4.jpg,praga,0.9842,"{'saudavel': 0.0002, 'praga': 0.9842, 'doenca': 0.0156}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225600-d2b235e9.jpg,praga,0.9827,"{'saudavel': 0.0002, 'praga': 0.9827, 'doenca': 0.0171}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225606-e8c65036.jpg,praga,0.9817,"{'saudavel': 0.0002, 'praga': 0.9817, 'doenca': 0.0181}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225612-eb652056.jpg,praga,0.9791,"{'saudavel': 0.0002, 'praga': 0.9791, 'doenca': 0.0207}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225618-74fbedaf.jpg,praga,0.9826,"{'saudavel': 0.0001, 'praga': 0.9826, 'doenca': 0.0173}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225624-d35cfd50.jpg,praga,0.9847,"{'saudavel': 0.0001, 'praga': 0.9847, 'doenca': 0.0152}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225630-0680e841.jpg,praga,0.9883,"{'saudavel': 0.0001, 'praga': 0.9883, 'doenca': 0.0116}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225636-5ddce864.jpg,praga,0.982,"{'saudavel': 0.0002, 'praga': 0.982, 'doenca': 0.0178}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225642-65a1f11f.jpg,praga,0.9756,"{'saudavel': 0.0003, 'praga': 0.9756, 'doenca': 0.0241}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225648-31a1305e.jpg,praga,0.9832,"{'saudavel': 0.0002, 'praga': 0.9832, 'doenca': 0.0165}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014742-37cefa91.jpg,praga,0.9714,"{'saudavel': 0.0004, 'praga': 0.9714, 'doenca': 0.0282}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014747-c224b90b.jpg,praga,0.9814,"{'saudavel': 0.0002, 'praga': 0.9814, 'doenca': 0.0184}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014752-99bcf7f6.jpg,praga,0.9762,"{'saudavel': 0.0003, 'praga': 0.9762, 'doenca': 0.0236}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014757-b8a1280b.jpg,praga,0.9787,"{'saudavel': 0.0002, 'praga': 0.9787, 'doenca': 0.0211}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014802-ac4f2972.jpg,praga,0.9762,"{'saudavel': 0.0003, 'praga': 0.9762, 'doenca': 0.0236}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__29__20260630010110-03cb02e9.jpg,praga,0.9837,"{'saudavel': 0.0001, 'praga': 0.9837, 'doenca': 0.0162}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__29__20260630010115-084e3326.jpg,praga,0.9797,"{'saudavel': 0.0002, 'praga': 0.9797, 'doenca': 0.0201}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__29__20260630010120-8a746c79.jpg,praga,0.9878,"{'saudavel': 0.0001, 'praga': 0.9878, 'doenca': 0.0121}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142203-e6e13396.jpg,praga,0.9804,"{'saudavel': 0.0003, 'praga': 0.9804, 'doenca': 0.0194}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142204-f73c1025.jpg,praga,0.9823,"{'saudavel': 0.0002, 'praga': 0.9823, 'doenca': 0.0175}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142220-1cfdd008.jpg,praga,0.9782,"{'saudavel': 0.0003, 'praga': 0.9782, 'doenca': 0.0216}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142221-71b55912.jpg,praga,0.9808,"{'saudavel': 0.0002, 'praga': 0.9808, 'doenca': 0.0191}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142222-31c94ceb.jpg,praga,0.9822,"{'saudavel': 0.0002, 'praga': 0.9822, 'doenca': 0.0176}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142222-c2520428.jpg,praga,0.9797,"{'saudavel': 0.0003, 'praga': 0.9797, 'doenca': 0.02}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142238-552e3c27.jpg,praga,0.9801,"{'saudavel': 0.0003, 'praga': 0.9801, 'doenca': 0.0197}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142239-28ed6e87.jpg,praga,0.9825,"{'saudavel': 0.0002, 'praga': 0.9825, 'doenca': 0.0173}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142240-bde178a9.jpg,praga,0.9808,"{'saudavel': 0.0002, 'praga': 0.9808, 'doenca': 0.019}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142241-8029cc8b.jpg,praga,0.982,"{'saudavel': 0.0002, 'praga': 0.982, 'doenca': 0.0178}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142536-b7ad7b3d.jpg,praga,0.9847,"{'saudavel': 0.0001, 'praga': 0.9847, 'doenca': 0.0151}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142537-dbef941e.jpg,praga,0.9829,"{'saudavel': 0.0001, 'praga': 0.9829, 'doenca': 0.017}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142553-37822bb4.jpg,praga,0.9814,"{'saudavel': 0.0001, 'praga': 0.9814, 'doenca': 0.0185}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142554-ab395b9c.jpg,praga,0.9869,"{'saudavel': 0.0001, 'praga': 0.9869, 'doenca': 0.013}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142555-34c32c44.jpg,praga,0.9849,"{'saudavel': 0.0002, 'praga': 0.9849, 'doenca': 0.0149}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142556-a1dd3bfe.jpg,praga,0.9835,"{'saudavel': 0.0001, 'praga': 0.9835, 'doenca': 0.0164}",,,
../../data/raw/klar/Outra_Praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__07__04__20260704163338-a732fa40.jpg,doenca,0.5864,"{'saudavel': 0.0098, 'praga': 0.4039, 'doenca': 0.5864}",,,
