caminho,status_previsto,confianca_status,subtipo_previsto,confianca_subtipo,prob_saudavel,prob_praga,prob_doenca
C:\Users\Mauro\Downloads\FOTOS\FOTOS\1d02ef9b-6723-41c9-851e-26d802bfcc1c.jpeg,saudavel,0.8783,Saudavel,0.7279,0.8783,0.0002,0.1215
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102847.jpg,praga,0.6993,Broca_do_Colmo,0.5278,0.0679,0.6993,0.2327
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102858.jpg,praga,0.4601,Outra_Doenca,0.2557,0.1372,0.4601,0.4027
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102909.jpg,praga,0.7019,Broca_do_Colmo,0.3523,0.0005,0.7019,0.2976
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102928.jpg,praga,0.7958,Pulgao,0.2931,0.0413,0.7958,0.1629
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102948.jpg,doenca,0.6547,Outra_Doenca,0.45,0.0011,0.3441,0.6547
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103011.jpg,saudavel,0.4313,Virus_do_Estriamento,0.4569,0.4313,0.2191,0.3496
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103035.jpg,doenca,0.7965,Outra_Doenca,0.3498,0.0258,0.1777,0.7965
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103055.jpg,doenca,0.6085,Virus_do_Estriamento,0.6492,0.378,0.0135,0.6085
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103104.jpg,doenca,0.9085,Virus_do_Estriamento,0.7165,0.0909,0.0006,0.9085
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103122.jpg,doenca,0.9908,Virus_do_Estriamento,0.915,0.0028,0.0064,0.9908
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103223.jpg,saudavel,0.9206,Saudavel,0.6538,0.9206,0.0029,0.0764
C:\Users\Mauro\Downloads\FOTOS\FOTOS\2fc1ce60-f14d-4746-9ae2-4f339412fef7.jpeg,saudavel,0.6898,Pulgao,0.5871,0.6898,0.1903,0.1199
C:\Users\Mauro\Downloads\FOTOS\FOTOS\47bf0fe8-02f0-4742-9d82-63727f91dc19.jpeg,saudavel,0.5548,Virus_do_Estriamento,0.5002,0.5548,0.0303,0.4149
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4ea3e787-14ff-4b1a-b920-a934fd3f1168.jpeg,doenca,0.6243,Saudavel,0.5249,0.3641,0.0116,0.6243
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4febd08d-d812-422b-aef9-c218ca120f69.jpeg,doenca,0.3943,Outra_Doenca,0.6827,0.3489,0.2567,0.3943
C:\Users\Mauro\Downloads\FOTOS\FOTOS\505e9ab4-aee0-4b2a-a91e-677856414482.jpeg,doenca,0.6453,Virus_do_Estriamento,0.6093,0.3537,0.001,0.6453
C:\Users\Mauro\Downloads\FOTOS\FOTOS\634ff639-19e4-4d33-bf14-eb2b2c3f79b6.jpeg,saudavel,0.7519,Saudavel,0.4376,0.7519,0.0518,0.1963
C:\Users\Mauro\Downloads\FOTOS\FOTOS\86db37f9-f24b-49c7-81a8-f2fb15ba156d.jpeg,doenca,0.576,Acaro,0.2637,0.1618,0.2622,0.576
C:\Users\Mauro\Downloads\FOTOS\FOTOS\88374a43-34de-4257-9192-1791aa6731b7.jpeg,saudavel,0.7361,Saudavel,0.5192,0.7361,0.0066,0.2573
C:\Users\Mauro\Downloads\FOTOS\FOTOS\905ae568-8ff3-44fc-9b19-0954ea7302cc.jpeg,doenca,0.853,Outra_Doenca,0.3155,0.0125,0.1345,0.853
C:\Users\Mauro\Downloads\FOTOS\FOTOS\9380be99-49b9-4afd-a68a-dc163cef5078.jpeg,doenca,0.4837,Ferrugem_Comum,0.1545,0.2094,0.3069,0.4837
