caminho,status_previsto,confianca_status,subtipo_previsto,confianca_subtipo,subtipo_sem_filtro,prob_saudavel,prob_praga,prob_doenca
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225549-dd6be3a4.jpg,doenca,0.7008,Ferrugem_Comum,0.8375,Ferrugem_Comum,0.0004,0.2987,0.7008
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225600-d2b235e9.jpg,doenca,0.6752,Ferrugem_Comum,0.8383,Ferrugem_Comum,0.0005,0.3244,0.6752
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225606-e8c65036.jpg,doenca,0.6933,Ferrugem_Comum,0.8448,Ferrugem_Comum,0.0004,0.3063,0.6933
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225612-eb652056.jpg,doenca,0.6678,Ferrugem_Comum,0.8254,Ferrugem_Comum,0.0005,0.3317,0.6678
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225618-74fbedaf.jpg,doenca,0.7024,Ferrugem_Comum,0.8339,Ferrugem_Comum,0.0004,0.2971,0.7024
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225624-d35cfd50.jpg,doenca,0.6676,Ferrugem_Comum,0.825,Ferrugem_Comum,0.0005,0.3319,0.6676
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225630-0680e841.jpg,doenca,0.6882,Ferrugem_Comum,0.8394,Ferrugem_Comum,0.0005,0.3113,0.6882
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225636-5ddce864.jpg,doenca,0.6997,Ferrugem_Comum,0.832,Ferrugem_Comum,0.0004,0.2998,0.6997
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225642-65a1f11f.jpg,doenca,0.6677,Ferrugem_Comum,0.8331,Ferrugem_Comum,0.0005,0.3318,0.6677
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260623225648-31a1305e.jpg,doenca,0.67,Ferrugem_Comum,0.8312,Ferrugem_Comum,0.0005,0.3295,0.67
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014742-37cefa91.jpg,doenca,0.6281,Ferrugem_Comum,0.8237,Ferrugem_Comum,0.0005,0.3714,0.6281
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014747-c224b90b.jpg,doenca,0.6517,Ferrugem_Comum,0.8287,Ferrugem_Comum,0.0005,0.3479,0.6517
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014752-99bcf7f6.jpg,doenca,0.6261,Ferrugem_Comum,0.82,Ferrugem_Comum,0.0005,0.3734,0.6261
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014757-b8a1280b.jpg,doenca,0.6572,Ferrugem_Comum,0.8308,Ferrugem_Comum,0.0005,0.3423,0.6572
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__24__20260624014802-ac4f2972.jpg,doenca,0.6484,Ferrugem_Comum,0.8199,Ferrugem_Comum,0.0005,0.351,0.6484
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__29__20260630010110-03cb02e9.jpg,doenca,0.6948,Ferrugem_Comum,0.8599,Ferrugem_Comum,0.0004,0.3048,0.6948
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__29__20260630010115-084e3326.jpg,doenca,0.6515,Ferrugem_Comum,0.8444,Ferrugem_Comum,0.0005,0.3481,0.6515
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__29__20260630010120-8a746c79.jpg,doenca,0.6814,Ferrugem_Comum,0.8566,Ferrugem_Comum,0.0004,0.3182,0.6814
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142203-e6e13396.jpg,doenca,0.6199,Ferrugem_Comum,0.8272,Ferrugem_Comum,0.0006,0.3795,0.6199
../../data/raw/klar_novo/praga\1478b478-1071-70c3-379e-a29ad88f04b7__2026__06__30__20260630142204-f73c1025.jpg,doenca,0.6525,Ferrugem_Comum,0.84,Ferrugem_Comum,0.0005,0.347,0.6525
